Spec. ID,Obj. ID,Obj. IAU Name,Obj. Alt. Name/s,Obj Family Type,Obj Type,Redshift,Obs-date (UT),Phase/s,Tel / Inst,Exp-time,Observer/s,Reducer/s,Group,Spectrum ascii File,Spectrum fits File,Spec. Type,Quality,Extinction-Corrected,Flux Calibrated By,WL Medium,Assoc. Groups,Related files,Public,End Prop. Period,Reporter/s,Publish,Contrib,Remarks,Created by,Creation date (UT),Modified by,Last modified date (UT)
84212,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-10-22 00:46:00.00,,NOT / ALFOSC,2200,C. Barbarino,C. Barbarino,NOT-ZTF,2019odp_2019-10-22_00-46-00.904_NOT_ALFOSC_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84213,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-10-27 03:34:51.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-10-27_03-34-51.100_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84214,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-11-04 02:02:21.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-11-04_02-02-21.500_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84215,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-11-11 03:33:39.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-11-11_03-33-39.900_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84216,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-11-22 22:20:30.00,,NOT / ALFOSC,2200,JHT,L. Tartaglia,NOT-ZTF,2019odp_2019-11-22_22-20-30.113_NOT_ALFOSC_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84217,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-11-24 06:12:31.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-11-24_06-12-31.000_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84218,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-12-18 02:26:43.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-12-18_02-26-43.301_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84219,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2019-12-21 03:58:23.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2019-12-21_03-58-23.598_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84220,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2020-01-04 03:21:37.00,,P60 / SEDM,2250,The Computer,auto,NOT-ZTF,2019odp_2020-01-04_03-21-37.500_P60_SEDM_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84221,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2020-01-13 20:27:34.00,,NOT / ALFOSC,2700,Christina and Amanda,L. Tartaglia,NOT-ZTF,2019odp_2020-01-13_20-27-34.858_NOT_ALFOSC_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84222,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2020-01-24 05:30:01.00,,Keck1 / LRIS,300,"Fremling, Yan","Andreoni, Fremling",NOT-ZTF,2019odp_2020-01-24_05-30-01.000_Keck1_LRIS_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
84223,13015,SN 2019odp,"Gaia19evl, ATLAS19thw, PS19ern, ZTF19abqwtfu",SN,SN Ic-BL,0.014,2020-08-21 11:58:41.00,,Keck1 / LRIS,1363,C. Fremling,C. Fremling,NOT-ZTF,2019odp_2020-08-21_11-58-41.000_Keck1_LRIS_NOT-ZTF.ascii,,Object,,,Photometry,Air,NOT-ZTF,,Y,,,2023arXiv230314146S,Schweyer et al. 2024,,Tassilo Schweyer,2024-12-04 15:22:52,Tassilo Schweyer,2024-12-04 15:22:52
